States/UTs,Year2015,Year2016,Year2017,Year2018
Andhra Pradesh,7524,7851,7564,6998
Arunachal Pradesh,117,103,103,134
Assam,2122,2445,2474,2829
Bihar,4771,4425,5045,6244
Chhattisgarh,3710,3527,3878,4217
Goa,302,316,306,248
Gujarat,7332,7296,6739,7176
Haryana,4430,4636,4700,4806
Himachal Pradesh,843,1000,907,926
Jammu & Kashmir,749,734,765,809
Jharkhand,2619,2681,3034,3261
Karnataka,9888,10215,9739,10093
Kerala,3937,4064,3915,4069
Madhya Pradesh,8412,8774,9258,9721
Maharashtra,12009,11780,11220,12098
Manipur,116,78,107,122
Meghalaya,153,146,140,165
Mizoram,50,61,55,39
Nagaland,23,41,35,35
Odisha,3855,4036,4372,4861
Punjab,4357,4584,4139,4479
Rajasthan,9306,9282,9300,9295
Sikkim,61,60,60,51
Tamil Nadu,14524,16092,15061,11375
Telangana,6569,6617,6110,6051
Tripura,154,165,153,194
Uttarakhand,765,801,727,797
Uttar Pradesh,15218,16164,17706,19364
West Bengal,5779,6081,5199,5185
Andaman & Nicobar Islands,22,16,20,18
Chandigarh,124,144,103,97
Dadra & Nagar Haveli,36,40,40,52
Daman & Diu,38,32,36,34
Delhi,1582,1548,1565,1657
Lakshadweep,0,1,0,1
Puducherry,229,235,221,225
